"USNO",1350394,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400725,"MICROSEMI ACTIVE H-MASER MHM 2010"
"OP",1352388,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"JV",1361277,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"USNO",1400718,"MICROSEMI ACTIVE H-MASER MHM 2010"
"OP",1351222,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400712,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NICT",1352116,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1930004,"GROUND-STATE HYPERFINETRANSITION OF 87 Rb"
"ESA",1351615,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1403053,"KVARZ CH1-75A ACTIVE H-MASER"
"ONRJ",1351942,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SASO",1352931,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"KRIS",1351135,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1352574,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"MTC",1353000,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1351790,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351692,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1353089,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NMIJ",1405015,"ANRITSU H-MASER"
"USNO",1350279,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351573,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1351644,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1351074,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1400205,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NICT",1353259,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"AUS",1360299,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"PL",1351120,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1352627,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350164,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351580,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400729,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NIST",1352579,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"JV",1408713,"UNSPECIFIED HYDROGEN MASER"
"ROA",1361488,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NIM",1352769,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ONRJ",1350147,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1362068,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NIM",1404832,"MICROSEMI ACTIVE H-MASER MHM 2010"
"PL",1352394,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1350913,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1400057,"T4S iMaser 3000 ACTIVE H-MASER"
"NICT",1351789,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1352367,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"CNM",1407301,"UNSPECIFIED HYDROGEN MASER"
"CH",1405702,"T4S pHMaser 1008 PASSIVE H-MASER"
"BIM",1188058,"MICROSEMI Cs 4000"
"USNO",1350270,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"DMDM",1352191,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SU",1403809,"KVARZ CH1-75A ACTIVE H-MASER"
"NPL",1401708,"MICROSEMI ACTIVE H-MASER MHM 2010"
"APL",1403109,"UNSPECIFIED HYDROGEN MASER"
"SU",1403815,"KVARZ CH1-75A ACTIVE H-MASER"
"PTB",1350415,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NAO",1351206,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SG",1353135,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"VSL",1350548,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1351712,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IFAG",1361798,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"UME",1350251,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351655,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1352647,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRL",1401012,"UNSPECIFIED HYDROGEN MASER"
"OP",1400809,"VREMYA-CH VCH-1003M ACTIVE H-MASER"
"OP",1351321,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"UME",1350252,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400715,"MICROSEMI ACTIVE H-MASER MHM 2010"
"AUS",1360654,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"PL",1404601,"UNSPECIFIED HYDROGEN MASER"
"CH",1405701,"UNSPECIFIED HYDROGEN MASER"
"USNO",1351468,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NPLI",1350140,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"CNM",1407302,"UNSPECIFIED HYDROGEN MASER"
"NICT",1350715,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1352034,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IMBH",1352909,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PL",1350441,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ONRJ",1350129,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SIQ",1361268,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"CNM",1352885,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1352853,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRC",1352115,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1350916,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PL",1352891,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IT",1350505,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1402014,"ANRITSU H-MASER"
"OP",1350157,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400720,"MICROSEMI ACTIVE H-MASER MHM 2010"
"VMI",1362314,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NMIJ",1350224,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1353091,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IFAG",1361732,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NRL",1362820,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"USNO",1350244,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350104,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1352758,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRC",1362219,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"APL",1351791,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"UA",1352465,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRL",1362829,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"KRIS",1350321,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PTB",1920001,"GROUND-STATE HYPERFINE TRANSITION OF133 Cs"
"USNO",1351462,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1352749,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400708,"MICROSEMI ACTIVE H-MASER MHM 2000/2001"
"USNO",1350268,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IT",1401103,"UNSPECIFIED HYDROGEN MASER"
"NIM",1404871,"MICROSEMI ACTIVE H-MASER MHM 2010"
"USNO",1400730,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NIST",1350282,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1352630,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PTB",1920002,"GROUND-STATE HYPERFINE TRANSITION OF133 Cs"
"NTSC",1400296,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NICT",1402004,"ANRITSU H-MASER"
"NRL",1401009,"UNSPECIFIED HYDROGEN MASER"
"DMDM",1362033,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NRC",1400306,"UNSPECIFIED HYDROGEN MASER"
"NICT",1352628,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TL",1352368,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ROA",1352270,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRC",1352152,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1353102,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400724,"MICROSEMI ACTIVE H-MASER MHM 2010"
"CNMP",1361752,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NTSC",1352573,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"UME",1350872,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1350343,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350150,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1350396,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NPL",1401701,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NICT",1402003,"ANRITSU H-MASER"
"SU",1403812,"KVARZ CH1-75A ACTIVE H-MASER"
"AUS",1360340,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"TP",1350163,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"BY",1404227,"VREMYA-CH VCH-1005 ACTIVE H-MASER"
"USNO",1930003,"GROUND-STATE HYPERFINETRANSITION OF 87 Rb"
"ESA",1352353,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352964,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIST",1400222,"MICROSEMI ACTIVE H-MASER MHM 2010"
"ORB",1360593,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"BY",1404229,"VREMYA-CH VCH-1005 ACTIVE H-MASER"
"NTSC",1351016,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PTB",1352987,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1362297,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"TL",1352365,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRL",1350714,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1350572,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ONRJ",1350103,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1352609,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350389,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SMD",1352003,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"LT",1351362,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1352933,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"UA",1407881,"UNSPECIFIED HYDROGEN MASER"
"SP",1407203,"KVARZ CH1-75A ACTIVE H-MASER"
"IT",1401104,"UNSPECIFIED HYDROGEN MASER"
"NICT",1350732,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"INXE",1352393,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"TP",1352476,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NTSC",1404926,"MICROSEMI ACTIVE H-MASER MHM 2010"
"SU",1403816,"KVARZ CH1-75A ACTIVE H-MASER"
"NICT",1352113,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IT",1352118,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NRC",1352150,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NMIJ",1350523,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIM",1352767,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1351459,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1352903,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NIM",1352643,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1361531,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"BEV",1351793,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
